fear1_proc,fear1_shock,fear2_proc,fear2_shock,ext1_proc,ext2_proc,renewal_proc,mem1_proc,mem1_oldnew,mem2_proc,mem2_oldnew,mem3_proc,mem3_oldnew,mem4_proc,mem4_oldnew,day1_block,day2_stim_block,day1_animals,day1_tools,day1_food,renewal_animals,renewal_tools,renewal_food,day2_foil_block,foil_animals,foil_tools,foil_food
,,,,,,,CS+E,old,CS+,old,CS+E,old,CS+,old,4,2,stims/animals/snapper.jpg,stims/tools/weldinghelmet.jpg,stims/food/tortillas.jpg,,,,,,,
,,,,,,,CS+,old,CS-,new,CS+,old,CS+E,old,4,3,stims/animals/tiger.jpg,stims/tools/woodchipper.jpg,stims/food/yogurt.jpg,,,,,,,
,,,,,,,CS-,old,CS+E,old,CS-,new,CS-,new,4,4,stims/animals/waterbuffalo.jpg,stims/tools/wrench.jpg,stims/food/peanut.jpg,,,,,,,
,,,,,,,CS-,old,CS+E,old,CS-,old,CS+E,new,,,,,,,,,,,,
,,,,,,,CS+,new,CS-,old,CS+,old,CS+,old,,,,,,,,,,,,
,,,,,,,CS+E,old,CS+,new,CS+E,new,CS-,old,,,,,,,,,,,,
,,,,,,,CS-,new,CS+E,new,CS-,old,CS+E,new,,,,,,,,,,,,
,,,,,,,CS+E,old,CS+,old,CS+,old,CS-,old,,,,,,,,,,,,
,,,,,,,CS+,old,CS-,old,CS+E,old,CS+,new,,,,,,,,,,,,
,,,,,,,CS+,old,CS-,old,CS-,new,CS+E,old,,,,,,,,,,,,
,,,,,,,CS-,old,CS+,new,CS+,new,CS+,old,,,,,,,,,,,,
,,,,,,,CS+E,new,CS+E,old,CS+E,old,CS-,old,,,,,,,,,,,,
,,,,,,,CS+,new,CS-,new,CS-,old,CS-,new,,,,,,,,,,,,
,,,,,,,CS-,new,CS+E,new,CS+E,new,CS+E,old,,,,,,,,,,,,
,,,,,,,CS+E,new,CS+,old,CS+,new,CS+,new,,,,,,,,,,,,
